id,nombre,precio,categoria,stock,calificacionPromedio
1003,"Organizador Modular Nova 1",225.48,Hogar,73,3.3
1026,"Ratón Inalámbrico Apex 2",388.83,Electrónica,80,1.3
1019,"Auriculares Bluetooth Apex 3",468.33,Electrónica,170,1.7
1004,"Cuentos Infantiles Lumen 4",113.73,Libros,178,1.7
1027,"Auriculares Bluetooth Terra 5",428.47,Electrónica,164,1.1
1037,"Vestido Casual Apex 6",490.29,Ropa,133,2.9
1008,"Zapatillas Urbanas Terra 7",73.73,Ropa,47,3.0
1039,"Camisa de Algodón Apex 8",85.51,Ropa,15,2.4
1047,"Sartén Antiadherente Lumen 9",490.76,Hogar,183,1.2
1030,"Auriculares Bluetooth Apex 10",368.64,Electrónica,101,1.5
1041,"Pantalón Deportivo Lumen 11",36.54,Ropa,166,1.9
1025,"Manual de Programación Orion 12",391.65,Libros,122,3.0
1044,"Chaqueta Impermeable Lumen 13",59.02,Ropa,194,3.9
1023,"Teclado Mecánico Nova 14",113.37,Electrónica,114,3.9
1015,"Sartén Antiadherente Terra 15",496.88,Hogar,169,1.4
1017,"Juego de Sábanas Nova 16",320.96,Hogar,114,2.2
1010,"Vestido Casual Lumen 17",25.42,Ropa,123,1.7
1049,"Manual de Programación Lumen 18",482.35,Libros,105,1.3
1038,"Chaqueta Impermeable Lumen 19",499.93,Ropa,127,1.3
1020,"Sartén Antiadherente Terra 20",105.82,Hogar,187,3.0
1046,"Cafetera Eléctrica Nova 21",154.24,Hogar,10,3.7
1043,"Monitor LED Apex 22",169.25,Electrónica,36,1.8
1050,"Chaqueta Impermeable Lumen 23",192.06,Ropa,101,3.5
1042,"Organizador Modular Nova 24",277.89,Hogar,154,3.5
1029,"Sartén Antiadherente Apex 25",45.96,Hogar,176,4.6
1032,"Chaqueta Impermeable Lumen 26",126.48,Ropa,152,2.8
1045,"Manual de Programación Terra 27",261.82,Libros,61,1.8
1022,"Chaqueta Impermeable Terra 28",44.14,Ropa,104,5.0
1033,"Organizador Modular Terra 29",204.17,Hogar,72,4.3
1024,"Auriculares Bluetooth Apex 30",250.74,Electrónica,118,1.3
1035,"Auriculares Bluetooth Nova 31",58.24,Electrónica,167,1.2
1009,"Sartén Antiadherente Nova 32",30.34,Hogar,53,1.6
1031,"Organizador Modular Orion 33",67.40,Hogar,177,2.2
1002,"Cafetera Eléctrica Lumen 34",48.08,Hogar,99,2.0
1007,"Lámpara de Mesa Nova 35",214.09,Hogar,107,1.5
1040,"Teclado Mecánico Orion 36",19.70,Electrónica,162,1.9
1006,"Monitor LED Lumen 37",222.40,Electrónica,42,4.7
1001,"Novela Histórica Nova 38",461.89,Libros,74,2.7
1011,"Cámara Web HD Terra 39",119.99,Electrónica,176,1.5
1034,"Teclado Mecánico Nova 40",355.65,Electrónica,24,1.4
1036,"Juego de Sábanas Lumen 41",473.28,Hogar,78,2.7
1014,"Sartén Antiadherente Nova 42",133.50,Hogar,158,3.3
1016,"Manual de Programación Apex 43",454.67,Libros,41,4.3
1028,"Organizador Modular Nova 44",392.23,Hogar,54,1.5
1021,"Manual de Programación Nova 45",35.26,Libros,20,4.6
1018,"Ratón Inalámbrico Apex 46",191.76,Electrónica,25,3.3
1048,"Manual de Programación Nova 47",146.57,Libros,102,3.7
1013,"Sartén Antiadherente Orion 48",37.56,Hogar,96,4.5
1005,"Monitor LED Terra 49",203.90,Electrónica,93,4.8
1012,"Pantalón Deportivo Terra 50",92.33,Ropa,185,3.1
